Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
2008,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,73
2008,swamp smartweed,Polygonum hydropiperoides Michx.,85
2008,sweetscent,Pluchea odorata (L.) Cass.,64
2008,thistle,Cirsium Mill.,95
2008,tidalmarsh amaranth,Amaranthus cannabinus (L.) Sauer,85
2008,torpedo grass,Panicum repens L.,95
2008,turtleweed,Batis maritima L.,65
2008,Unknown #1,Unknown #1,94
2008,Virginia glasswort,Salicornia depressa Standl.,78
2008,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,73
2008,wand lythrum,Lythrum lineare L.,76
2009,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,78
2009,annual seepweed,Suaeda linearis (Elliott) Moq.,90
2009,Bare Ground,Bare Ground,0
2009,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,90
2009,Bermudagrass,Cynodon dactylon (L.) Pers.,90
2009,big cordgrass,Spartina cynosuroides (L.) Roth,79
2009,black mangrove,Avicennia germinans (L.) L.,70
2009,broadleaf arrowhead,Sagittaria latifolia Willd.,72
2009,broadleaf cattail,Typha latifolia L.,85
2009,bulltongue arrowhead,Sagittaria lancifolia L.,66
2009,bushy seaside tansy,Borrichia frutescens (L.) DC.,72
2009,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,90
2009,catchfly prairie gentian,Eustoma exaltatum (L.) Salisb. ex G. Don,100
2009,cattail,Typha L.,66
2009,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,80
2009,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,75
2009,common reed,Phragmites australis (Cav.) Trin. ex Steud.,75
2009,common threesquare,Schoenoplectus pungens (Vahl) Palla,65
